Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
45,2025-10-10T01:49:00+11:00,2025-10-10,01:49,0,1,1
47,2025-10-10T01:43:00+11:00,2025-10-10,01:43,6,0,6
47,2025-10-10T01:46:00+11:00,2025-10-10,01:46,2,0,2
47,2025-10-10T01:53:00+11:00,2025-10-10,01:53,3,0,3
47,2025-10-10T01:54:00+11:00,2025-10-10,01:54,2,0,2
50,2025-10-10T01:47:00+11:00,2025-10-10,01:47,1,0,1
59,2025-10-10T01:40:00+11:00,2025-10-10,01:40,7,2,9
61,2025-10-10T01:41:00+11:00,2025-10-10,01:41,1,1,2
61,2025-10-10T01:42:00+11:00,2025-10-10,01:42,3,0,3
61,2025-10-10T01:43:00+11:00,2025-10-10,01:43,3,0,3
61,2025-10-10T01:48:00+11:00,2025-10-10,01:48,1,0,1
61,2025-10-10T01:54:00+11:00,2025-10-10,01:54,1,0,1
66,2025-10-10T01:48:00+11:00,2025-10-10,01:48,1,0,1
66,2025-10-10T01:49:00+11:00,2025-10-10,01:49,3,0,3
66,2025-10-10T01:52:00+11:00,2025-10-10,01:52,2,0,2
66,2025-10-10T01:54:00+11:00,2025-10-10,01:54,1,0,1
77,2025-10-10T01:50:00+11:00,2025-10-10,01:50,0,2,2
84,2025-10-10T01:50:00+11:00,2025-10-10,01:50,3,5,8
108,2025-10-10T01:47:00+11:00,2025-10-10,01:47,0,1,1
132,2025-10-10T01:50:00+11:00,2025-10-10,01:50,0,2,2
134,2025-10-10T01:40:00+11:00,2025-10-10,01:40,1,3,4
134,2025-10-10T01:45:00+11:00,2025-10-10,01:45,3,0,3
135,2025-10-10T01:45:00+11:00,2025-10-10,01:45,0,1,1
143,2025-10-10T01:40:00+11:00,2025-10-10,01:40,7,0,7
143,2025-10-10T01:45:00+11:00,2025-10-10,01:45,6,1,7
162,2025-10-10T01:45:00+11:00,2025-10-10,01:45,5,0,5
165,2025-10-10T01:45:00+11:00,2025-10-10,01:45,1,0,1
179,2025-10-10T01:40:00+11:00,2025-10-10,01:40,1,2,3
179,2025-10-10T01:50:00+11:00,2025-10-10,01:50,1,0,1
181,2025-10-10T01:42:00+11:00,2025-10-10,01:42,3,0,3
181,2025-10-10T01:45:00+11:00,2025-10-10,01:45,1,0,1
181,2025-10-10T01:46:00+11:00,2025-10-10,01:46,1,2,3
181,2025-10-10T01:47:00+11:00,2025-10-10,01:47,2,9,11
184,2025-10-10T01:40:00+11:00,2025-10-10,01:40,3,3,6
184,2025-10-10T01:45:00+11:00,2025-10-10,01:45,5,8,13
185,2025-10-10T01:40:00+11:00,2025-10-10,01:40,10,11,21
185,2025-10-10T01:45:00+11:00,2025-10-10,01:45,1,3,4
1,2025-10-10T01:49:00+11:00,2025-10-10,01:49,2,1,3
