Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location
2011,36,102152,102152,162-168 Collins Street MELBOURNE 3000,Melbourne (CBD),Long Room,"Shop , Basement , 162 Collins Street MELBOURNE 3000",620,144.9678476506,-37.814502919908925,"-37.814502919908925, 144.9678476506"
2011,43,108068,108068,111-129 Queen Street MELBOURNE 3000,Melbourne (CBD),CQ Bar,"Ground , 113 Queen Street MELBOURNE 3000",100,144.96063605134182,-37.8158122876,"-37.8158122876, 144.96063605134182"
2011,753,110606,110380,3 Southgate Avenue SOUTHBANK 3006,Southbank,Bear Brass,"Shop 3, Ground , 3 Southgate Avenue SOUTHBANK 3006",200,144.96630309908272,-37.82071821935,"-37.82071821935, 144.96630309908272"
2012,14,104003,104003,2-8 Queen Street MELBOURNE 3000,Melbourne (CBD),Candela Nuevo,"Suite 1201, Part Level 12, 2-0 Queen Street MELBOURNE 3000",300,144.96271041413254,-37.8185876429,"-37.8185876429, 144.96271041413254"
2012,23,106436,106436,54-60 Market Street MELBOURNE 3000,Melbourne (CBD),Alexis Restaurant,"Unit 2, Ground , 60-60 Market Street MELBOURNE 3000",370,144.96081872196703,-37.817777314050005,"-37.817777314050005, 144.96081872196703"
2012,33,105936,105936,433 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Dikstein's Corner Bar,433 Little Collins Street MELBOURNE 3000,145,144.96034180595,-37.81631387227728,"-37.81631387227728, 144.96034180595"
2012,46,109413,109413,146 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cabinet Bar,11 Swanston Street MELBOURNE 3000,90,144.96620165892986,-37.8141766338,"-37.8141766338, 144.96620165892986"
2012,48,101109,101109,39-43 Bourke Street MELBOURNE 3000,Melbourne (CBD),Spleen Central,41 Bourke Street MELBOURNE 3000,100,144.97204768475,-37.81193513742269,"-37.81193513742269, 144.97204768475"
2012,48,503031,503031,19-23 Meyers Place MELBOURNE 3000,Melbourne (CBD),Loop Project Space & Bar,"Ground , 19-23 Meyers Place MELBOURNE 3000",152,144.97210850790103,-37.81215229455,"-37.81215229455, 144.97210850790103"
2012,54,105852,105852,401-405 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),The Apartment Restaurant Club Lounge,"LwrGround , 405 Little Bourke Street MELBOURNE 3000",250,144.9610341172,-37.81403280616105,"-37.81403280616105, 144.9610341172"
